viewpoint_index	viewpoint
0	すぐに実行できるアイデアという点で優れている
1	複数の人間で行動する方が安全という点で優れている
2	、とにかく暗い夜道を絶対に女子一人であるかない　という点で優れている
3	一人の時でも防犯対策ができるという点で優れている
4	具体的な防犯の仕方を提示しているという点で優れている
5	物を用意したりといった事前準備が不要という点で優れている
6	他人に犯罪が伝わり危害防止につながるという点で優れている
7	同じ駅を利用する人と一緒という点で優れている」
8	いちばんやりやすい方法という点で優れている
9	携帯の充電がなくても使えるという点で優れている
10	人通りが少ない夜道で有効という点で優れている
11	二人なら襲われる確率が低いという点で優れている
12	人が多い方が危険を回避できるという点で優れている
13	役所に増設を訴える際に緊迫した状況が伝わるという点で優れている
14	現実的だしどんな環境でも使えるという点で優れている
15	今すぐに危険を回避する事が出来る対策であるし会社ぐるみで取りかかれるという点で優れている
16	一人でできるしお金もかからないという点で優れている
17	気軽に実践できその場にすぐ助けてくれる人がいるという点で優れている
18	個人的な主観ではない、一般的に理解できるという点で優れている
19	夜道を歩く事が無くなるので危険を回避するという点で優れている
20	職場全体で安全を考えている事が見えるという点で優れている
21	自己防衛という点で優れている
22	積極的に防犯対策に役立っているという点で優れている
23	効果が高いアイデアという点で優れている
24	すぐに実行出来るアイデアという点で優れている
25	内容が具体的で複数のプランが提示されているという点で優れている
26	暗いと犯罪率がたかいという点で優れている
27	コスト（お金）がかからないアイデアという点で優れている
28	すぐに実行できるアイデアという点で優れている
29	お金はかかるが確実に家まで帰れるという点で優れている
30	自分で何もしなくていいという点で優れている
31	大勢でいると安全という点で優れている
32	犯罪行為に対する抑止効果があるという点で優れている
33	長期的な観点で安全という点で優れている
34	自分一人で気をつければいいという点で優れている
35	たとえ変な人でも襲ってくる人からの危険も防げるという点で優れている
36	一緒にいると安全という点で優れている
37	単純だが危険性を減らせるという点で優れている
38	長く安全できるという点で優れている
39	防犯上効果的という点で優れている
40	気軽に対策できるという点で優れている
41	一人ではなく複数人でという点で優れている
42	何か異変があったら直ぐに助けてくれる人に連絡が入るという点で優れている
43	自分の都合で実行できるという点で優れている
44	危険な目に合う可能性が低いという点で優れている
45	、確実に危険を避けられるという点で優れている
46	玄関前まで安全という点で優れている
47	現実的な対応策という点で優れている
48	安いコストでできるという点で優れている
49	その場の人数に関係なく常に安全という点で優れている
50	何か起きた時の対応が早いという点で優れている
51	視線を一点に集中させないという点で優れている
52	簡単に実施できるという点で優れている
53	人数を増やす負担がないという点で優れている
54	終業時間が遅くならないので、安全性が高いという点で優れている
55	防犯対策上効果があるという点で優れている
56	「選んだアイデアは夜道でも安心して歩けるという点で優れている
57	自分に自信が持て、常にビクビクして歩くという精神的な苦痛から解放される。という点で優れている
58	他人とタイミングを合わせなくても良いという点で優れている
59	自分以外の人が知り合いで安全という点で優れている
60	危険な状態になる可能性が低いという点で優れている
61	人の助けを借りずに独力で行えるという点で優れている
62	ひったくりや暴漢に狙われにくいという点で優れている
63	周囲に誤解を与えないという点で優れている
64	駅までの道が最後まで確実に複数になるという点で優れている
65	すぐに実行できるという点で優れている
66	町全体の防犯につながるという点で優れている
67	暗い道を避けるという点で優れている
68	犯罪にあう可能性が格段に減るという点で優れている
69	即日実施可能という点で優れている
70	周囲に人がおらず自分一人だけの時にも効果的という点で優れている
71	明るい道であればある程度安全でお金がかからないという点で優れている
72	夜道を明るくしたほうが犯罪が少ないという点で優れている
73	明かりと音で安全性が倍増するという点で優れている
74	仕事が遅くならないための対策という点で優れている
75	1人より何人かで帰る方が安心という点で優れている
76	ほとんど労力をかけずに済むという点で優れている
77	お金がかからないという点で優れている
78	ひとりで居たい時もあると思うという点で優れている
79	確実に危険回避できそうという点で優れている
80	現実的だという点で優れている
81	二人以上であれば対処の幅も広がるという点で優れている
82	手軽に身近な事で自分が対策できるという点で優れている
83	万が一の場合の対策もカバーしているという点で優れている
84	治安維持にも効果的という点で優れている
85	危険だという報告が多いのだから役所がなんとかするべきという点で優れている
86	危険が少ない点で優れている
87	自分個人の問題として解決するだけではなく同様に危険を感じ得る地域全体の問題として根本的に解決しているという点で優れている
88	従業員にかかる負担が軽いという点で優れている
89	安全で確実という点で優れている
90	自分一人ではないという点で優れている
91	明るくなると視界もよくなり安全性が高まるという点で優れている
92	利用する人の状況を選ばない対策となり得るという点で優れている
93	集団で帰るというのは安全性という点で優れている
94	1人で歩かざるを得ない状況に対しても効果が期待できるという点で優れている
95	組織で取り組むことで確実に実現できそうという点で優れている
96	警戒心を見せる事である程度は危険を回避出来るという点で優れている
97	容易に実行できて現実的だという点で優れている
98	高額な出費がないという点で優れている
99	他人に依存せずに自分一人で行動できるという点で優れている
