viewpoint_index	viewpoint
0	コストが低く抑えられるという点で優れている
1	すぐに英語の表示があるのでとてもわかりやすいという点で優れている
2	今すぐに対策ができるという点で優れている
3	スマホを持っていない年配の方でも安心という点で優れている
4	操作が簡単という点で優れている
5	表示スペースに限定されないという点で優れている
6	様々な言葉を話す人が理解できるという点で優れている
7	具体的という点で優れている
8	視覚による認識は直感的に伝わりやすいという点で優れている
9	スマートフォンなどで保存でき、いくつもの資料を持ち歩かなくて済むという点で優れている
10	国籍問わず誰でも見れば伝わるという点で優れている
11	私が逆の立場だったらそう思うという点で優れている
12	英語以外の多言語に対応できるという点で優れている
13	スマホに依存しないという点で優れている
14	調べる手間がないという点で優れている
15	国や年齢を問わずわかりやすいという点で優れている
16	英語がわからない外国人にも伝わるという点で優れている
17	母国語での説明文は安心するという点で優れている
18	旅行者の言語に関わらず母国語で理解できるという点で優れている
19	汎用性や拡張性という点で優れている
20	簡潔でわかりやすいという点で優れている
21	、周りの人々に頼ることなくぱっと見て判断できることが便利　という点で優れている
22	時間がかからないという点で優れている
23	、イラストでわかるという点で優れている
24	この先アプリを使う事が当たり前の時代になるという点で優れている
25	標識等以外にも、日本語の本や新聞にも使えるという点で優れている
26	汎用性や拡張性という点で優れている
27	配布物を持っていない人にも対応しているという点で優れている
28	実現可能性が高く、なおかつそれ程コストがかからないという点で優れている
29	、その時や場所、目的などで素早く、ピンポイントに対応できる点で、「選ばなかったアイデア」よりも優れている
30	図や絵は視覚から入る情報で効果があるという点で優れている
31	、どの国でも容易に理解できるイラストを使うという点で優れている
32	伝えたいことを視覚的に表現するという点で優れている
33	文化の違いに影響されず、一目瞭然であるという点で優れている
34	言語に依存せずに理解できるという点で優れている
35	見る人の母国語でその意味を伝達できるようにするという点で優れている
36	いろんな個性、人種の人に対応できるという点で優れている
37	楽しさがあるという点で優れている
38	わざわざガイドブックでの確認が不要という点で優れている
39	イラストだけで何かを伝えることが出来るという点で優れている
40	簡単に利用できるという点で優れている
41	素早く理解できるという点で優れている
42	こどもでも理解できるという点で優れている
43	標識等に限定せず関連事項までフォローするという点で優れている
44	言葉だけでなく映像で説明するという点で優れている
45	簡単にわかることという点で優れている
46	観光客側に手間がかからないという点で優れている
47	様々な言語に対応できるいう点で優れている
48	すべての国の人が理解できる図やアイコンを作らなくても良いという点で優れている
49	スマホやアプリを使わなくて済むという点で優れている
50	どこの国の人にも共通してわかり、簡潔という点で優れている
51	表示がシンプルだという点で優れている
52	道路の標識や町の景観に対してほとんど影響を与えないという点で優れている
53	コストがかからないという点で優れている
54	現実的で多くの人に役立つという点で優れている
55	スマホなどの携帯は世界的に普及しているのでという点で優れている
56	わかりやすさとコストという点で優れている
57	外国の方がぱっと見で理解できるという点で優れている
58	多くの観光客に対応出来るという点で優れている
59	英語だけでなく様々な言語に対応できそうだという点で優れている
60	簡単に実施できるという点で優れている
61	わかりやすさという点で優れている
62	システムを完成させれば継続させやすいという点で優れている
63	すぐに目で識別できタブレットの貸し出しなども不要いう点で優れている
64	たくさんの人を雇う必要がないという点で優れている
65	多言語に対応出来るアイデアという点で優れている
66	誰が見てもわかりやすくタブレット等を持っていない子供や年配者でも楽しめる点で優れている
67	スマートフォンを持っていない人でもわかるという点で優れている
68	実現性が高いアイデアという点で優れている
69	「説明」にも対応出来るアイデアという点で優れている
70	正しく理解してもらえるという点で優れている
71	表現に限界がないという点で優れている
72	逆の立場だったらその方が便利という点で優れている
73	記載のスペースを少なくできるという点で優れている
74	実物にタッチするからわかりやすいという点で優れている
75	世界標準の英語で書かれているという点で優れている
76	見てすぐ察知でき時間がかからないという点で優れている
77	小さな町の単位で取り組み、早めに実行することができる。という点で優れている
78	実現した時の楽しさが大きいという点で優れている
79	自分のペースで観光を楽しめるという点で優れている
80	英語は万能とは言えないので直感で理解させるという点で優れている
81	日本語を覚えて母国に帰ってもらえるという点で優れている
82	分かりやすさおよび現在の各種フリーソフトの充実という点で優れている
83	シンプルという点で優れている
84	パッとすぐに判断できるという点で優れている
85	どの年齢層でも一目でわかるという点で優れている
86	視覚に訴えた方が理解しやすいという点で優れている
87	指示性が高いという点で優れている
88	言語や文化の異なる人に幅広く対応できるという点で優れている
89	観光の魅力の原点「現地人とのふれあい」を増やす点で優れている
90	万国共通の英語を使うという点で優れている
91	イラストの方が幅広い年齢層が理解できるという点で優れている
92	早く操作できるという点で優れている
93	手元で確認できるという点で優れている
94	ガイドブックを持たない人にも理解できるという点で優れている
95	理解しやすいという点で優れている
96	利用者が必要に応じて使えるという点で優れている
97	どの年齢層でもぱっと理解できるという点で優れている
98	画像の似た標識の意味も早く把握できるという点で優れている
99	手軽さとわかりやすさという点で優れている
