viewpoint_index	viewpoint
0	自主性を促すアイデアである点で優れている
1	集まりやすい環境を整えるという点で優れている
2	少しの手間だけで効果がでるという点で優れている
3	集まりやすい環境を整えるという点で優れている
4	早く集まれば早く終わるという点で優れている
5	責任を持てるという点で優れている
6	ペナルティーに一定の猶予があるという点で優れている
7	より集まりやすくするという点で優れている
8	罰則だけでなく褒美を与えている点で優れている
9	一言でズバッとまとめているという点で優れている
10	現実的なペナルティを課すのは効果的だからという点で優れている
11	話を聞き逃したら仕事にならないという緊張感を持たせるという点で優れている
12	「アイデアA 」はより楽しくミーティングが出来るという点で「アイデアB 」よりも優れているから
13	ペナルティが柔軟に決められるという点で優れている
14	集計作業不要で即実行できるという点で優れている
15	無駄なお金を払いたくないというのは旧通の意識という点で優れている
16	これまでの出席状況をデーター管理する手間がかからないという点で優れている
17	善し悪しを本人に自覚させることができるという点で優れている
18	遅刻してしまう人間を行動させる余裕があるという点で優れている
19	各自に責任感を持たせるという点で優れている
20	社会人として当たり前であるという点で優れている
21	仲間意識がはたらくという点で優れている
22	実際に実行するという点で優れている
23	居心地の良さは人を集めるという点で優れている
24	ミーティングに参加する事で参加者にメリットが生まれるという点で優れている
25	ペナルティがあることで意識が改善しそうという点で優れている
26	手軽にできるという点で優れている
27	楽しいと感じることができれば自分から参加しようと思えるようになるという点で優れている
28	食べ飲み放題という点で優れている
29	余裕をもたせて開始前に集めてしまうという点で優れている
30	ルールをしっかり決めているという点で優れている
31	嫌々集めさせるのでなく社員の自主性を促しているという点で優れている
32	罰よりメリットの方が持続性があるという点で優れている
33	メリットを与える方が効果が持続するという点で優れている
34	メンバー側が半強制的に日程に合わせるという点で優れている
35	ミーティングを思い出すことができるという点で優れている
36	遅れたときの罰則の厳しさという点で優れている
37	間違った行為にペナルティを与え正すという点で優れている
38	気軽に参加できるという点で優れている
39	確実に時間通りに始められるという点で優れている
40	罰則まではいかないまでも、損になる仕組みを作るという点で優れている
41	強制的に仕切るのは嫌という点で優れている
42	ミーティング開催日を繰り返し周知させることができるという点で優れている
43	あめとむちがあるという点で優れている
44	罰より褒美の方が持続性があるという点で優れている
45	通知があるので参加しやすいという点で優れている
46	その場で確認・反省できるという点で優れている
47	強制力がはたらくという点で優れている
48	特定の人にメリットがあるという点で優れている
49	お仕置きがあるという点で優れている
50	集まりを良くするという点で優れている
51	確実に時間通りになるという点で優れている
52	、集まるための強制力が働くという点で優れている
53	時間に関して確実性という点で優れている
54	重要であるということを再確認させるという点で優れている
55	報酬を与えるペナルティを与えるという点で優れている
56	、より強くインセンティブが作用するという点で優れている
57	メリットだけでなくデメリットも提示しているという点で優れている
58	一人ひとりのやる気を増進させるという点で優れている
59	休憩時間が減らないという点で優れている
60	集まるための強制力が働くという点で優れている
61	来る人が積極的に来たくなるという点で優れている
62	開始時間の変更が絶対にないと分かるという点で優れている
63	報酬を与えるという点で優れている
64	共通の認識をもつという点で優れている
65	遅刻者側がなんらかの対策をする必要があるという点で優れている
66	優れた人をまとめ役にするという点で優れている
67	罰のために大きな手間をとらされるという点で優れている
68	参加しないと罰則があるというのはかなり重く感じられるという点で優れている
69	遅刻欠席することへのほどほどの抑止効果という点で優れている
70	声をかけあうのはコミュニケーションにもなっていいと思うという点で優れている
71	遅刻欠席防止の確実性という点で優れている
72	懲罰といったネガティブな動機では継続が難しかったりストレス要因になりかねないがポジティブな動機づくりをしているので継続的根本的な問題解決になるという点で優れている
73	返信させることで忘れないという点で優れている
74	時間をとってミーティングをするで、遅れてくる人に対してペナルティを科す点で優れている
75	来なかった人を連絡係にすることにより行かなければならない、しっかり役割を果たさなければならないという気持ちにさせるという点で優れている
76	参加者が参加することの意義が感じられるという点で優れている
77	ミーティングの目的や役割を再考するという点で優れている
78	飲食物に興味がない人にも効果があるという点で優れている
79	問題解決を諦めるのではなく少なくとも対策を立てているという点で優れている
80	モチベーションがあげれば会社全体にとって良いという点で優れている
81	罰があると意識が高まるという点で優れている
82	罰則ではなくミーティングへの参加を促す方法という点で優れている
83	ペナルティーを避けるという明確な動機付けがあるという点で優れている
84	ミーティング時間の短縮という点で優れている
85	面倒かもしれないが現実的だと思うという点で優れている
86	ポジティブさという点で優れている
87	簡単に効果を上げやすいという点で優れている
88	あらかじめ決めておくという点で優れている
89	多少ペナルティはないと人間は甘えてしまうと思うという点で優れている
90	参加者は褒美をもらえるので結果かなり得になるという点で優れている
91	ペナルティーを避けるという明確な動機付けがあるという点で優れている
92	ペナルティが具体的であるという点で優れている
93	実際にこれをやったら集まりがよくなった経験があるという点で優れている
94	ペナルティよりも信頼性があるという点で優れている
95	参加したいという意識と話し合う必要性がつたわるという点で優れている
96	ペナルティーと褒賞という明確な動機付けが設けられているという点で優れている
97	人が嫌いな罰を受けるという点で優れている
98	現実的なペナルティを課すのは効果的だからという点で優れている
99	確認不足で集まれていないという可能性を確実に除去できるという点で優れている
