viewpoint_index	viewpoint
0	脳をイメージしやすいという点で優れている
1	心がありそうなデザインという点で優れている
2	躍動感があってかわいらしいキャラクターという点で優れている
3	可愛らしいという点で優れている
4	親しみやすく、書きやすいという点で優れている
5	知的に見えるという点で優れている
6	親しみやすいという点で優れている
7	人工知能というSF的な表現が明確という点で優れている
8	多様な媒体に対応できる汎用性の高さという点で優れている
9	知的に見えるという点で優れている
10	カラフルで親しみやすいという点で優れている
11	人工知能を分かりやすく表現しているという点で優れている
12	オタクっぽさや男子向けな要素がなく、老若男女に受け入れられそうだという点で優れている
13	親しみやすいという点で優れている
14	AIのイメージであるロボットや近未来をイメージさせるデザインという点で優れている
15	愛嬌があって可愛らしいという点で優れている
16	愛嬌があるという点で優れている
17	ロボットのデザインにまとまりがあるという点で優れている
18	表現力という点で優れている
19	色使いも多くキャラクターの表情が明るいという点で優れている
20	宙に浮いていて未来のイメージがあるという点で優れている
21	シンプルという点で優れている
22	ＡＩというイメージに繋がるという点で優れている
23	目を引くデザインのキャラクターという点で優れている
24	キュートなデザインで印象に残りやすいという点で優れている
25	頭脳が機械化されたデザインという点で優れている
26	見た目が良くかっこいいという点で優れている
27	人工知能を親しみやすく表現しているという点で優れている
28	知的なイメージという点で優れている
29	訴求力が高いという点で優れている
30	キャラクターとして誰からも好かれそうという点で優れている
31	なめらかでシンプルな線で描かれており親しみやすいという点で優れている
32	ただロボット的なだけでなく、人工知能というソフトを備えている点を表現しているという点で優れている
33	万人受けするという点で優れている
34	パッと見た時に印象的だという点で優れている
35	何のキャラクターかわかるという点で優れている
36	リアル過ぎずロゴ的な感じという点で優れている
37	一本一本の輪郭やラインが整っているという点で優れている
38	カラーリングがロボットらしいという点で優れている
39	人間らしさがなくロボットっぽいという点で優れている
40	考えている状態が伝わりやすいという点で優れている
41	AIロボット感が強く会話が出来そうという点で優れている
42	かわいらしいマスコットに成り得るという点で優れている
43	色合いも良く細かいところも丁寧という点で優れている
44	目立ち、万人受けしそうという点で優れている
45	かわいさという点で優れている
46	手足の角度などの動きが感じられるという点で優れている
47	AIとさりげなくデザインしているという点で優れている
48	人工知能のイメージをよく表現できているという点で優れている
49	キャラクターを形成するラインが整っているという点で優れている
50	一目で分かりやすく、人工知能だと連想できるし、優秀さも感じとれるという点で優れている
51	イメージのしやすさという点で優れている
52	人工知能のキャラクターだとわかりやすい点で優れている
53	丸くて親しみやすいという点で優れている
54	小さな子供が見ても親しみやすいという点で優れている
55	キャラクターのかわいらしさという点で優れている
56	近未来的な印象があり人工知能をイメージできるという点で優れている
57	人工知能をわかりやすくイメージしたデザインという点で優れている
58	表情が明るく愛嬌があるという点で優れている
59	子供向けの可愛らしさという点で優れている
60	インパクトがありかわいいという点で優れている
61	変に尖って迷走していないという点で優れている
62	頭が良さそうという点で優れている
63	空を飛んでいて躍動感が強いという点で優れている
64	小さくて丸いところがかわいいという点で優れている
65	両手（指）、両足が動きそうで自由が効くという点で優れている
66	親しみやすいという点で優れている
67	AIと書いてあるのでわかりやすいという点で優れている
68	頭がぱかっと割れているという不気味さという点で優れている
69	可愛らしくて親しみやすいという点で優れている
70	ＡＩが備わっていることが伝わるという点で優れている
71	知能が高そうという点で優れている
72	人工知能とイメージしやすいという点で優れている
73	博士型のロボットのようなデザインと親しみやすさという点で優れている
74	未来的なデザインという点で優れている
75	インテリジェンスを感じるという点で優れている
76	未来的なイメージを抱くデザインという点で優れている
77	知能が表現されているデザインという点で優れている
78	リアルすぎず子供にもウケが良さそうという点で優れている
79	かわいいという点で優れている
80	知的で無機質を感じるという点で優れている
81	脳の部分のデザインが細かく賢そうという点で優れている
82	人間的な表情が含まれているという点で優れている
83	青色が使われていてスマートな印象が強いという点で優れている
84	明快に人工知能をイラスト化しているという点で優れている
85	スッキリとしたわかりやすいロボット型のデザインという点で優れている
86	体がAIの文字になっているという点で優れている
87	ソフトバンクのペッパーに類似しているという点で優れている
88	何のデザインであるのかが明確という点で優れている
89	人工知能感が良く伝わるという点で優れている
90	キャラクターの輪郭が整っているという点で優れている
91	可愛さの中に無機質を感じるという点で優れている
92	人工知能のイメージがわきやすいという点で優れている
93	愛されやすさという点で優れている
94	人間らしさが少なく未来を感じさせるという点で優れている
95	脳が見えるロボットで人工知能を想像させるという点で優れている
96	何を表現しているのか分かりやすいという点で優れている
97	シンプルなわかりやすさという点で優れている
98	頭の上で何か閃いている感じがAIらしいという点で優れている
99	見た感じ人工知能のキャラクターに近いという点で優れている
