label_index	winner_index	loser_index	evaluator_index
0	30	0	61
1	30	0	61
2	30	0	61
3	30	0	61
4	30	0	61
5	30	0	18
6	30	0	18
7	30	0	17
8	30	0	3
9	30	0	3
10	30	0	3
11	30	0	3
12	30	0	56
13	30	0	16
14	30	0	13
15	30	0	42
16	30	0	34
17	30	0	8
18	30	0	5
19	30	0	33
20	11	0	61
21	11	0	0
22	11	0	17
23	11	0	3
24	11	0	23
25	11	0	23
26	11	0	23
27	11	0	56
28	11	0	47
29	11	0	16
30	11	0	59
31	11	0	59
32	11	0	38
33	11	0	46
34	11	0	11
35	11	0	43
36	11	0	34
37	11	0	28
38	11	0	10
39	28	0	61
40	28	0	61
41	28	0	17
42	28	0	17
43	28	0	44
44	28	0	47
45	28	0	39
46	28	0	59
47	28	0	59
48	28	0	59
49	28	0	59
50	28	0	8
51	28	0	8
52	28	0	5
53	28	0	10
54	28	0	10
55	28	0	32
56	5	0	18
57	5	0	17
58	5	0	17
59	5	0	23
60	5	0	23
61	5	0	23
62	5	0	23
63	5	0	23
64	5	0	56
65	5	0	59
66	5	0	38
67	5	0	49
68	5	0	8
69	5	0	8
70	5	0	28
71	5	0	5
72	12	0	61
73	12	0	61
74	12	0	18
75	12	0	17
76	12	0	44
77	12	0	56
78	12	0	39
79	12	0	13
80	12	0	54
81	12	0	54
82	12	0	11
83	12	0	11
84	12	0	43
85	12	0	34
86	12	0	8
87	12	0	8
88	12	0	28
89	12	0	26
90	9	0	61
91	9	0	18
92	9	0	17
93	9	0	17
94	9	0	17
95	9	0	3
96	9	0	3
97	9	0	23
98	9	0	23
99	9	0	59
100	9	0	59
101	9	0	38
102	9	0	11
103	9	0	11
104	9	0	28
105	9	0	5
106	9	0	5
107	9	0	10
108	16	0	18
109	16	0	18
110	16	0	17
111	16	0	44
112	16	0	23
113	16	0	56
114	16	0	59
115	16	0	59
116	16	0	13
117	16	0	11
118	16	0	8
119	16	0	5
120	16	0	5
121	16	0	5
122	16	0	10
123	16	0	32
124	23	0	61
125	23	0	61
126	23	0	17
127	23	0	3
128	23	0	3
129	23	0	23
130	23	0	56
131	23	0	40
132	23	0	59
133	23	0	59
134	23	0	9
135	23	0	48
136	23	0	11
137	23	0	7
138	23	0	34
139	23	0	28
140	23	0	5
141	23	0	5
142	35	0	61
143	35	0	18
144	35	0	44
145	35	0	56
146	35	0	59
147	35	0	59
148	35	0	13
149	35	0	46
150	35	0	6
151	35	0	11
152	35	0	11
153	35	0	11
154	35	0	4
155	35	0	5
156	35	0	31
157	35	0	36
158	37	0	61
159	37	0	44
160	37	0	35
161	37	0	23
162	37	0	59
163	37	0	59
164	37	0	59
165	37	0	42
166	37	0	54
167	37	0	11
168	37	0	11
169	37	0	8
170	37	0	8
171	37	0	8
172	37	0	28
173	37	0	5
174	37	0	10
175	29	0	61
176	29	0	61
177	29	0	17
178	29	0	44
179	29	0	3
180	29	0	23
181	29	0	56
