viewpoint_index	viewpoint
0	斬新なアイデアという点で優れている
1	動いているほうがプレッシャーが大きいという点で優れている
2	うまく取り付ければ広範囲での監視ができるという点で優れている
3	見張ると言うという点で優れている
4	カンニングは自分の為にならないという点で優れている
5	教師の努力のみでコストがかからないという点で優れている
6	手荷物をなくすという点で優れている
7	覗き込めないようにするという点で優れている
8	カンニングに対する罰則が具体的に示されているという点で優れている
9	カンニングはリスクが大きいという点で優れている
10	退学という恐怖心がでるという点で優れている
11	カンニング防止の実現性があるという点で優れている
12	問題の順番を並び替えるという点で優れている
13	いつどこで撮影されるわからないので、わからない事のほうが恐怖心を煽るという点で優れている
14	カンニングが出来ない問題を作るという点で優れている
15	確実性の高いアイデアという点で優れている
16	生徒側が教師の目を盗み不正を行うことを防ぐという点で優れている
17	通常のテスト方式で学力を試すことができるという点で優れている
18	実際に監視しなくても不正に対する抑止力になるという点で優れている
19	カンニングが難しい問題という点で優れている
20	筆記具を用意しなくてよいという点で優れている
21	受験環境へのマイナス面が少ないという点で優れている
22	実現性という点で優れている
23	具体性が高いアイデアという点で優れている
24	細工がしにくいという点で優れている
25	カンニングを削減する目的につながりやすいという点で優れている
26	出題自体に工夫をしているという点で優れている
27	一人一人の生徒の不自然な動作を監視できるという点で優れている
28	勉強の大切さを教える教師の基本に則ったもので生徒の将来のためを思っているという点で優れている
29	シンプルという点で優れている
30	カンニングできない環境を作るという点で優れている
31	カンニングを発見しやすいという点で優れている
32	具体的かつより効果が高いという点で優れている
33	カンニング行為を厳しく取り締まるという点で優れている
34	手間暇がかからないという点で優れている
35	生徒に対する心理的な効果という点で優れている
36	筆記具を用意する必要がないという点で優れている
37	具体的で実現性もあるという点で優れている
38	手間をかけずに簡単にできるという点で優れている
39	移動時間を省けるという点で優れている
40	席をしっかりあけてカンニングできないようにしている点で「選ばなかったアイデア」よりも優れている
41	みんなに公平であるという点で優れている
42	カンニング対策に効果がありそうという点で優れている
43	手間はかかるが必要以上に生徒を疑ったり信じようとしたりというストレスがないという点で優れている
44	視線があるのを生徒に分からせるという点で優れている
45	カンニングの準備をさせるスキを与えないという点で優れている
46	現実的により効果的という点で優れている
47	具体的で実現性もあるという点で優れている
48	物理的な手段を封じるという点で優れている
49	眺める事で未然に防げるという点で優れている
50	他の人のものが見えても問題ないという点で優れている
51	ルールだ最初に決めてしまえば、その後は生徒にストレスを感じさせることがないという点で優れている
52	確実に対策ができるという点で優れている
53	手間・時間をかけずにテストが実施できるという点で優れている
54	具体的で効果的という点で優れている
55	じっくりと見張るという点で優れている
56	物を使ったカンニングを防ぐという点で優れている
57	具体的にカンニング対策ができるという点で優れている
58	抑止効果があるという点で優れている
59	出題内容を絞らせないという点で優れている
60	より具体的に表現されているという点で優れている
61	筆記用具だけを持たせるのでカンニングしづらいという点で優れている
62	教室に関係ない手口に対策できるという点で優れている
63	各自の問題の難易度の差が生じにくいという点で優れている
64	、絶えず監視の目を話さないという点で優れている
65	簡単に行えるという点で優れている
66	机などにカンニングメモなどを仕込むことを防ぐという点で優れている
67	皆に平等な環境でテスト対策ができるという点で優れている
68	ペナルティを与えることでプレッシャーをかけるという点で優れている
69	道具に細工させないという点で優れている
70	具体的で実現性もあるという点で優れている
71	カンニングをすれば、罰が下るわかりやすさという点で優れている
72	精神的な圧力よりも物質的に不可能な状態にするという点で優れている
73	消しゴムや鉛筆を使用したカンニングを防止できるという点で優れている
74	カンニングすることに対して心理的なプレッシャーをかけられるという点で優れている
75	カンニングをした生徒の結末を伝えているという点で優れている
76	具体的でとても効果的な方法という点で優れている
77	現実的で地味だが効果が見込めるという点で優れている
78	問題を理解してないと正解出来ないという点で優れている
79	厳罰を用いることで強い抑止効果を持つという点で優れている
80	カンニングのデメリットをしっかり話すという点で優れている
81	カンニングの用意ができないという点で優れている
82	設置する手間がかからないという点で優れている
83	カンニングが難しいという点で優れている
84	一室の受験者数を減らすという点で優れている
85	掛かる手間が小さいという点で優れている
86	教師の目を盗んで不正を行うことを防ぐという点で優れている
87	カンニングをやろうと思わせなくするという点で優れている
88	監視する作業が少ないという点で優れている
89	狭い視界範囲で生徒の行動を監視できるという点で優れている
90	その場で事実を確認できるという点で優れている
91	道具を持ち込ませないという点で優れている
92	労力や時間が削減できるという点で優れている
93	生徒から見えない場所で監視するという点で優れている
94	効果は少ないが確実性はあるという点で優れている
95	手間がかからないという点で優れている
96	カンニングの準備ができないという点で優れている
97	顔を上げておくと見晴らしが良いという点で優れている
98	カンニングをしても自分の得にはならないと言うのを伝えてるという点で優れている
99	やろうと思わせなくするという点で優れている
