viewpoint_index	viewpoint
0	開催地がわかりやすいという点で優れている
1	一つの枠内に収まっているので作りやすいという点で優れている
2	ムダが無く開催国と行われた年が分かりやすいという点で優れている
3	聖火をモチーフとしているという点で優れている
4	シンプルで見やすいという点で優れている
5	色が統一されていてシンプルという点で優れている
6	ランナーが走っているデザインという点で優れている
7	開催地やコンセプトが単純な形でも伝わるという点で優れている
8	現代的で華やかという点で優れている
9	円形にすることでまとまりがあるという点で優れている
10	色使いが鮮やかという点で優れている
11	競技者の躍動感があるデザインという点で優れている
12	目に留まりやすくわかりやすいという点で優れている
13	西暦をデザインの一部としてしまうという点で優れている
14	分かりやすいという点で優れている
15	斬新なデザインという点で優れている
16	カラフルな色彩とイラスト、ロゴの字体の全てがスポーツの躍動感を表しているという点で優れている
17	開催地の地名が協調されているという点で優れている
18	カラフルなデザインという点で優れている
19	こちらのほうが色彩が多いという点で優れている
20	オリジナリティがあるという点で優れている
21	シンプルでパっと見た時に覚えやすいという点で優れている
22	ひと目でわかるという点で優れている
23	シンプルという点で優れている
24	記憶に残るデザインという点で優れている
25	色が綺麗で爽やかなデザインという点で優れている
26	色合いがビビッドで印象に残りやすいという点で優れている
27	こちらのほうが五輪のマークが見やすいという点で優れている
28	オリンピックらしい躍動感のあるデザインという点で優れている
29	開催地の有名な建築物が描かれているという点で優れている
30	わかりやすさという点で優れている
31	五輪マークがカラーで地名も入っているという点で優れている
32	第一印象が良くて好感度が高いデザインという点で優れている
33	聖火と五輪でオリンピックだとわかりやすいという点で優れている
34	斬新なデザインという点で優れている
35	シンプルでわかりやすいという点で優れている
36	オリンピックロゴの色が活かされているという点で優れている
37	親しみやすいという点で優れている
38	カラフルなデザインという点で優れている
39	カラフルという点で優れている
40	シンプルな一色構成なので白黒印刷でも映えるという点で優れている
41	五輪のマークに５色の色が付いているという点で優れている
42	まとまりがあるという点で優れている
43	斬新的なデザインという点で優れている
44	オリンピックロゴの色が活かされているという点で優れている
45	五輪マークがカラフルで一目で分かりやすいという点で優れている
46	手書きっぽくないという点で優れている
47	見た瞬間にオリンピックとわかるという点で優れている
48	明るいイメージで洗練されているという点で優れている
49	記念と言う感じが強いという点で優れている
50	オリンピックらしさがあるという点で優れている
51	オリンピックシンボルが目立つという点で優れている
52	国際色豊かなイメージを彷彿とさせるという点で優れている
53	オシャレさという点で優れている
54	色味が有り目に留まりやすいという点で優れている
55	スポーツをしている躍動感が伝わってくるという点で優れている
56	ほかの選手と競争しているのがわかりやすいという点で優れている
57	丸のデザインが地球も現しているという点で優れている
58	縦にシンプルに並べているという点で優れている
59	ひと目でオリンピックのロゴであるとわかるという点で優れている
60	スポーツを表現する躍動感があるという点で優れている
61	カラフルで親しみやすいという点で優れている
62	一目でオリンピックと理解できるという点で優れている
63	今までにはない斬新さという点で優れている
64	躍動感と面白みを感じるという点で優れている
65	抽象性という点で優れている
66	配色が良くインパクトがあるという点で優れている
67	柔らかな印象で親しみやすいという点で優れている
68	開催地の地名が書いてるのでどこでやるかわかりやすいという点で優れている
69	表現の美しさという点で優れている
70	全体的なバランスが優れているという点で優れている
71	シンプルでありながら広がりを感じるという点で優れている
72	美しさやインパクトやわかりやすさという点で優れている
73	華やかなスポーツの祭典を表すという点で優れている
74	全体的なバランスが取れているという点で優れている
75	華やかという点で優れている
76	色の配色が良くはっきりしているという点で優れている
77	個性的で神秘的な感じが何故か印象に残るという点で優れている
78	すぐにオリンピックと気づくという点で優れている
79	五輪のロゴであるということが伝わってくるという点で優れている
80	分かりやすく目を引くという点で優れている
81	カラフルで視認性が良いという点で優れている
82	明るくて目立つという点で優れている
83	目に付きやすく覚えやすいという点で優れている
84	青で冬季だとわかりやすいという点で優れている
85	五輪がカラーで描かれていて色彩豊かという点で優れている
86	スッキリとまとまっているという点で優れている
87	個性的という点で優れている
88	スッキリしているという点で優れている
89	シンプルで格好が良いという点で優れている
90	オリンピックの開催年度と開催国がわかりやすいという点で優れている
91	斬新で珍しいという点で優れている
92	カラフルで目立つという点で優れている
93	シンプルでオシャレという点で優れている
94	動物が印象的という点で優れている
95	現代的で華やかという点で優れている
96	全体的にまとまりがあるという点で優れている
97	スポーツの祭典らしさが伝わってくるという点で優れている
98	シンプルでかっこいいという点で優れている
99	デザインのバランスがいいという点で優れている
